strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Rotten Panda,hybrid,0.120,0.001, Herbal, Sweet, Spicy,, Strong, Trippy, Happy, Cerebral, Photoperiod, 10-11 weeks
Royal AK,hybrid,0.220,0.001, Diesel, Earthy, Citrus, Pungent, Relaxed, Euphoric, Strong, Happy, Photoperiod, 8 weeks
Royal AK Autoflowering,indica,0.120,0.110, Diesel, Sweet, Pine,, Creative, Sociable, Relaxed, Motivated, Photoperiod, 9-10 weeks
Royal Bluematic,indica,0.220,0.001, Pungent, Skunk, Fruity, Spicy, Body-buzz, Strong, Happy, Relaxed, Photoperiod, 9 weeks
Royal Cheese (Fast Flowering),hybrid,0.120,0.001, Citrus, Sweet, Earthy, Fresh, Focused, Motivated, Energetic,, Photoperiod, 9-10 weeks
Royal Cheese Autoflowering,sativa,0.060,0.070, Pine, Skunk, Earthy, Pungent, Energetic, Motivated, Relaxed, Uplifting, Photoperiod, 9-10 weeks
Royal Cookies,sativa,0.220,0.001, Earthy, Fresh, Pine,, Relaxed, Cerebral, Euphoric,, Photoperiod, 9-10 weeks
Royal Cookies Autoflowering,sativa,0.120,0.001, Sweet, Pungent, Cheese, Fruity, Cerebral, Energetic, Uplifting, Motivated, Photoperiod, 9-11 weeks
Royal Creamatic,indica,0.120,0.030, Woody, Sweet, Flowery, Earthy, Relaxed, Calming,,, Autoflowering, 11-12 weeks
Royal Critical Autoflowering,indica,0.120,0.001, Sweet, Pineapple, Cherry, Tropical, Energetic, Happy, Cerebral, Creative, Photoperiod, 8-9 weeks
Royal Domina,indica,0.220,0.001, Pine, Citrus, Spicy, Earthy, Body-buzz, Relaxed, Euphoric, Balanced, Photoperiod, 9-10 weeks
Royal Dwarf,indica,0.180,0.110, Tropical, Fruity, Sweet,, Relaxed, Cerebral,,,,
Royal Gorilla,indica,0.190,0.001, Pungent, Woody, Herbal, Spicy, Narcotic, Happy, Relaxed,, Autoflowering, 9-10 weeks
Royal Gorilla Autoflowering,hybrid,0.120,0.001, Spicy, Sweet,,, Uplifting, Happy, Relaxed,, Photoperiod, 8 weeks
Royal Haze Autoflowering,sativa,0.120,0.001, Sweet, Lemon, Citrus, Spicy, Sociable, Happy, Cerebral, Uplifting, Photoperiod, 10-11 weeks
Royal Highness,indica,0.120,0.110, Candy, Caramel, Sweet,, Narcotic, Calming, Relaxed,, Autoflowering, 8-9 weeks
Royal Jack Autoflowering,hybrid,0.120,0.001, Fresh, Lavender, Tropical, Fruity, Creative, Motivated, Happy, Uplifting, Photoperiod, 8-9 weeks
Royal Kush Autoflowering,sativa,0.120,0.001, Pungent, Grape, Lemon, Diesel, Energetic, Motivated, Creative, Uplifting, Autoflowering, 10 weeks
Royal Medic,sativa,0.120,0.001, Fresh, Earthy,,, Uplifting, Body-buzz, Cerebral,, Autoflowering, 9-10 weeks
Royal Moby,hybrid,0.190,0.001, Sweet, Herbal, Earthy,, Relaxed, Strong, Calming,, Photoperiod, 8-9 weeks
Royal Queen,sativa,0.210,0.001, Sweet, Fruity, Spicy, Blueberry, Uplifting, Relaxed, Motivated, Euphoric, Photoperiod, 9-10 weeks
Royale Haze,hybrid,0.190,0.010, Pine, Sweet, Fruity,, Calming, Relaxed, Cerebral,, Autoflowering, 8 weeks
Ruderalis Indica,sativa,0.200,0.001, Spicy, Earthy, Sweet, Pungent, Happy, Cerebral, Uplifting, Creative, Photoperiod, 8-10 weeks
Ruderalis Skunk,hybrid,0.220,0.001, Sweet, Lemon, Citrus, Pine, Sociable, Motivated, Alert, Uplifting, Photoperiod, 10-11 weeks
Runtz,indica,0.120,0.001, Skunk, Fruity,,, Relaxed, Long-lasting, Attentive,, Photoperiod, 7-8 weeks
Russian Doll,sativa,0.120,0.001, Fruity, Spicy, Sweet,, Uplifting, Energetic, Creative, Cerebral, Autoflowering, 10-11 weeks
Russian Haze Autoflowering,indica,0.200,0.001, Fruity, Earthy,,, Calming, Body-buzz, Relaxed, Happy, Photoperiod, 8 weeks
Russian Snow,sativa,0.180,0.010, Pungent, Spicy, Cheese, Sweet, Energetic, Uplifting, Euphoric, Relaxed, Photoperiod, 9 weeks
Rusty Haze,sativa,0.190,0.110, Sour, Sweet,,, Relaxed, Sleepy, Calming,, Photoperiod, October
S.A.D. Autoflowering,hybrid,0.120,0.001, Chemical, Pungent, Diesel,, Euphoric, Cerebral, Happy,, Photoperiod, 8-9 weeks
S.A.D. Sweet Afgani Delicious CBD,indica,0.220,0.001, Musky, Earthy, Nutty, Hashish, Euphoric, Trippy, Psychedelic, Cerebral, Photoperiod, 9 weeks
S.A.D. Sweet Afgani Delicious S1,indica,0.200,0.007, Tropical, Grapefruit, Sweet, Fruity, Euphoric, Uplifting, Relaxed, Happy, Photoperiod, 7 weeks
S.A.G.E. CBD,indica,0.170,0.001, Sweet, Pungent, Diesel, Spicy, Body-buzz, Relaxed, Sociable, Happy, Photoperiod, 9-10 weeks
SPR Haze,sativa,0.190,0.001, Berry, Sweet, Herbal, Pine, Sociable, Cerebral, Motivated,, Photoperiod, 9-10 weeks
SSSDH x Jack,hybrid,0.100,0.220, Sweet, Lemon, Spicy, Honey, Relaxed, Body-buzz, Cerebral,, Photoperiod, 7-8 weeks
San Fernando Lemon Kush,hybrid,0.120,0.001, Sweet, Pungent, Cheese, Lemon, Balanced, Relaxed, Uplifting, Calming, Photoperiod, 9-10 weeks
Sandstorm,hybrid,0.200,0.001, Fruity, Sweet,,, Trippy, Cerebral, Mellow,, Photoperiod, 9 weeks
Sangria,sativa,0.060,0.050, Skunk, Lemon, Citrus, Fresh, Uplifting, Body-buzz, Sociable, Cerebral, Autoflowering, 9 weeks
Santa Maria,sativa,0.220,0.001, Sweet, Spicy, Citrus,, Relaxed, Uplifting, Trippy, Euphoric, Photoperiod, 9-12 weeks
Santa Muerte,hybrid,0.250,0.001, Licorice, Citrus, Mango, Lavender, Happy, Cerebral, Uplifting, Euphoric, Photoperiod, 7-8 weeks
Santa Sativa,indica,0.120,0.001, Flowery, Sweet,,, Calming, Sleepy, Relaxed, Happy, Autoflowering, 10 weeks
Scarlet Queen,hybrid,0.220,0.001, Ammonia, Skunk, Pungent,, Body-buzz, Couch-lock, Narcotic, Happy, Photoperiod, 9-10 weeks
Scott’s OG,hybrid,0.180,0.120, Kushy, Tropical, Earthy, Berry, Narcotic, Calming, Strong, Relaxed, Photoperiod, 7-9 weeks
Sensi Skunk,indica,0.180,0.006, Earthy, Lemon, Fruity,, Meditative, Relaxed, Long-lasting, Body-buzz, Photoperiod, 8-9 weeks
Sensi Skunk Autoflowering,hybrid,0.180,0.001, Diesel, Citrus,,, Euphoric, Uplifting, Relaxed, Happy, Autoflowering, 9-10 weeks
Sensi Star,sativa,0.250,0.001, Citrus, Diesel,,, Energetic, Strong, Cerebral, Uplifting, Photoperiod, 10 weeks
Serious 6,hybrid,0.120,0.001, Sweet, Lemon, Diesel, Blueberry, Balanced, Uplifting, Body-buzz, Cerebral, Photoperiod, 7-8 weeks
Serious Happiness,indica,0.170,0.001, Spicy, Woody, Earthy,, Couch-lock, Strong, Relaxed, Sleepy, Photoperiod, 6-8 weeks
Serious Kush,indica,0.120,0.001, Pine, Earthy, Fuel,, Happy, Body-buzz, Euphoric, Narcotic, Photoperiod, 8-9 weeks
SexBud,sativa,0.220,0.001, Sweet, Pineapple, Diesel, Fruity, Relaxed, Cerebral, Sociable,, Photoperiod, 8-9 weeks
Shaman,indica,0.120,0.001, Spicy, Herbal,,, Narcotic, Relaxed, Sleepy, Calming, Autoflowering, 10-12 weeks
Shark,hybrid,0.120,0.001, Herbal, Earthy, Fresh,, Balanced, Calming, Relaxed,, Autoflowering, 9-11 weeks
Shark Attack,indica,0.220,0.001, Sweet, Fruity, Fresh,, Long-lasting, Relaxed, Body-buzz, Calming, Photoperiod, 9-11 weeks
Shark Shock,hybrid,0.190,0.110, Lavender, Berry, Grape,, Body-buzz, Cerebral, Relaxed,, Photoperiod, 9-10 weeks
Shark Shock CBD,hybrid,0.190,0.010, Citrus, Lemon, Diesel,, Creative, Body-buzz, Euphoric,, Photoperiod, 9-10 weeks
Shark Widow,hybrid,0.160,0.001, Fresh, Fruity, Citrus, Strawberry, Balanced, Happy, Body-buzz, Cerebral, Photoperiod, 7-8 weeks
Shark Widow CBD,sativa,0.120,0.001, Fresh, Lemon, Herbal, Fruity, Creative, Relaxed, Cerebral, Energetic, Photoperiod, 11-12 weeks
Sharksbreath,indica,0.120,0.001, Skunk, Pungent, Spicy, Sweet, Relaxed, Uplifting, Body-buzz, Happy, Autoflowering, 10-12 weeks
Sherbet Queen,indica,0.200,0.009, Sweet, Chemical, Citrus,, Body-buzz, Smooth, Happy, Relaxed, Autoflowering, 8 weeks
Shining Silver Haze,hybrid,0.120,0.030, Citrus, Sweet,,, Relaxed, Energetic, Happy,, Photoperiod, 7 weeks
ShiskaBerry,indica,0.120,0.001, Blueberry, Fruity, Sweet,, Body-buzz, Calming, Relaxed,, Autoflowering, 10-12 weeks
Shit,sativa,0.120,0.001, Sour, Citrus, Diesel,, Cerebral, Uplifting, Focused, Creative, Photoperiod, 9-10 weeks
Shiva Shanti,indica,0.120,0.001, Earthy, Fruity, Herbal,, Narcotic, Relaxed, Euphoric, Calming, Photoperiod, 8-9 weeks
Shiva Shanti 2,indica,0.220,0.001, Pine, Citrus, Lemon, Cheese, Long-lasting, Strong, Relaxed,, Autoflowering, 10-11 weeks
Shiva Skunk,hybrid,0.180,0.001, Citrus, Lemon, Sweet, Fresh, Motivated, Euphoric, Uplifting, Energetic, Autoflowering, 8-9 weeks
Shiva Skunk Autoflowering,hybrid,0.120,0.001, Earthy, Spicy, Pine, Fruity, Talkative, Relaxed, Happy, Giggly, Photoperiod, 8-9 weeks
Shivawreck,hybrid,0.210,0.001, Flowery, Lemon, Spicy,, Uplifting, Long-lasting, Psychedelic, Energetic, Photoperiod, 9-10 weeks
Shoreline,sativa,0.120,0.001, Mexican, Super Skunk, Fruity,, Euphoric, Cerebral, Uplifting,, Photoperiod, 9-11 weeks
Shot Adrenaline Autoflowering,indica,0.160,0.005, Fruity, Berry, Sweet,, Body-buzz, Calming, Relaxed,, Autoflowering, 9 weeks
Siberian Haze,indica,0.210,0.001, Earthy, Fruity, Skunk,, Body-buzz, Relaxed, Narcotic, Happy, Photoperiod, 8-9 weeks
Siberian Haze Autoflowering,hybrid,0.120,0.001, Berry, Sweet, Earthy, Fresh, Uplifting, Cerebral, Energetic,, Photoperiod, 7-9 weeks
Silver Cheese,indica,0.130,0.110, Lemon, Citrus, Sweet,, Body-buzz, Relaxed, Cerebral, Balanced, Autoflowering, 10-11 weeks
Silver Haze,indica,0.200,0.010, Musky, Kushy, Pungent,, Long-lasting, Relaxed, Body-buzz, Happy, Photoperiod, 8 weeks
Silver Haze 9,hybrid,0.120,0.001, Skunk, Citrus,,, Calming, Relaxed, Euphoric,, Autoflowering, 8 weeks
Silver LA,sativa,0.120,0.001, Sweet, Earthy,,, Cerebral, Relaxed, Uplifting, Energetic, Photoperiod, 8-9 weeks
Silver Star Haze,sativa,0.200,0.001, Berry, Lemon, Fruity,, Uplifting, Creative, Motivated, Giggly, Photoperiod, 9 weeks
Silversurfer Haze,hybrid,0.230,0.001, Sweet, Pepper, Mango, Tropical, Relaxed, Happy, Balanced, Euphoric, Photoperiod, 9-10 weeks
Sin City Kush,hybrid,0.190,0.001, Berry, Skunk, Cheese, Pungent, Strong, Lazy, Relaxed,, Photoperiod, 7-8 weeks
Sin Tra Bajo Autoflowering,indica,0.200,0.005, Sweet, Blueberry, Tropical, Grapefruit, Body-buzz, Relaxed, Euphoric, Calming, Photoperiod, 8 weeks
Sir Jack,hybrid,0.230,0.010, Herbal, Woody, Pine, Spicy, Uplifting, Creative, Motivated,, Photoperiod, 9 weeks
Sir Jack Autoflowering,sativa,0.200,0.010, Sweet, Fruity, Fresh,, Cerebral, Energetic, Talkative, Creative, Photoperiod, 8-9 weeks
Sister Glue,indica,0.190,0.001, Fruity, Skunk, Cherry,, Relaxed, Body-buzz, Calming,, Autoflowering, 10-11 weeks
Six Shooter,sativa,0.120,0.001, Sweet, Strawberry, Pine, Hashish, Sociable, Relaxed, Happy, Cerebral, Photoperiod, 9-10 weeks
Skunk,hybrid,0.200,0.030, Citrus, Lemon, Sweet,, Relaxed, Body-buzz, Energetic, Balanced, Photoperiod, 8-9 weeks
Skunk 1,indica,0.220,0.001, Earthy, Kushy, Sour, Lemon, Psychedelic, Long-lasting, Strong,, Photoperiod, 7-9 weeks
Skunk 1 Autoflowering,indica,0.180,0.001, Sweet, Earthy, Candy, Citrus, Relaxed, Giggly, Calming, Happy, Photoperiod, 8-9 weeks
Skunk 11,sativa,0.220,0.001, Sweet, Fruity, Sour, Tangerine, Strong, Euphoric, Uplifting, Happy, Photoperiod, 9-10 weeks
Skunk 47,sativa,0.220,0.001, Chemical, Fuel, Pungent,, Balanced, Energetic, Body-buzz, Cerebral, Photoperiod, 10 weeks
Skunk Afghani,sativa,0.120,0.001, Spicy, Sour, Sweet,, Uplifting, Energetic, Calming, Cerebral, Autoflowering, 9 weeks
Skunk Autoflowering,indica,0.120,0.001, Diesel, Sweet, Grape, Pungent, Strong, Body-buzz, Relaxed,, Photoperiod, 8-10 weeks
Skunk Classic,sativa,0.220,0.001, Spicy, Citrus, Earthy,, Cerebral, Creative, Uplifting,, Photoperiod, 10-12 weeks
Skunk Haze,indica,0.220,0.001, Fresh, Blueberry, Sweet, Vanilla, Body-buzz, Strong, Balanced, Energetic, Photoperiod, 7-8 weeks
Skunk Kush,indica,0.120,0.001, Herbal, Earthy, Pine, Sweet, Relaxed, Happy, Creative, Cerebral, Autoflowering, 7-8 weeks
Skunk XL,indica,0.120,0.030, Sweet, Pine, Earthy, Pungent, Tingly, Couch-lock, Sleepy, Narcotic, Photoperiod, 9 weeks
Skyscraper Kush,sativa,0.180,0.001, Pepper, Coffee, Citrus, Spicy, Cerebral, Balanced, Talkative, Body-buzz, Autoflowering, 9-10 weeks
Skywalker Kush,indica,0.120,0.001, Sweet, Fruity,,, Relaxed, Body-buzz, Narcotic,, Autoflowering, 9-10 weeks
Sleepy Yoda Autoflowering,hybrid,0.120,0.001, Sweet, Skunk, Spicy, Pungent, Giggly, Happy, Cerebral, Relaxed,,
Sleestack,sativa,0.200,0.001, Strawberry, Sweet,,, Energetic, Cerebral, Motivated, Creative, Photoperiod, 10 weeks
Smurfberry,hybrid,0.120,0.001, Sweet, Grape, Sour, Pepper, Uplifting, Euphoric, Motivated, Happy, Photoperiod, 8 weeks
Snow Bud,indica,0.240,0.030, Sweet, Fruity, Tropical, Candy, Body-buzz, Relaxed, Cerebral, Balanced, Photoperiod, 7-9 weeks
Snow White,hybrid,0.120,0.001, Lemon, Pungent, Earthy, Skunk, Body-buzz, Relaxed, Giggly, Happy, Photoperiod, 7-8 weeks
So G Kush,sativa,0.120,0.001, Citrus, Sweet, Spicy,, Talkative, Energetic, Munchies, Cerebral, Photoperiod, 9-11 weeks
SoGouda,hybrid,0.180,0.030, Pungent, Spicy, Skunk,, Uplifting, Long-lasting, Relaxed, Cerebral, Photoperiod, 7-8 weeks
Solo Ryder,hybrid,0.120,0.001, Woody, Earthy, Sweet,, Relaxed, Euphoric, Sociable, Happy, Autoflowering, 8 weeks
Solomatic CBD,hybrid,0.010,0.150, Pungent, Sweet, Fruity,, Relaxed, Clear-headed, Calming,, Photoperiod, 8-9 weeks
Somalicious,indica,0.120,0.001, Woody, Spicy, Pine,, Calming, Relaxed,,, Autoflowering, 9-11 weeks
Somango,hybrid,0.220,0.001, Pungent, Cheese, Skunk,, Balanced, Happy, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Somango 47,sativa,0.220,0.001, Fresh, Sweet, Tropical,, Uplifting, Creative, Energetic, Cerebral, Photoperiod, 7-9 weeks
Somango Widow,sativa,0.210,0.001, Fruity, Sweet,,, Strong, Energetic, Uplifting, Cerebral, Autoflowering, 9-10 weeks
Somango XL,indica,0.170,0.220, Fruity, Raspberry, Sweet, Honey, Happy, Cerebral, Relaxed, Sociable, Photoperiod, 8-9 weeks
Sonic Screwdriver,indica,0.120,0.001, Skunk, Cheese,,, Euphoric, Relaxed, Happy, Sleepy, Photoperiod, 8-9 weeks
Sour Banana Sherbet,sativa,0.220,0.001, Sweet, Skunk, Earthy,, Creative, Strong, Euphoric, Cerebral, Photoperiod, 9-11 weeks
Sour Blueberry,sativa,0.120,0.110, Citrus, Lemon, Pineapple,, Uplifting, Energetic, Motivated, Happy, Photoperiod, 8-10 weeks
Sour Chiesel Autoflowering,sativa,0.180,0.005, Spicy, Citrus, Sweet,, Happy, Uplifting, Talkative, Cerebral, Autoflowering, 8-9 weeks
Sour Cream,sativa,0.120,0.001, Sour, Pungent, Cheese, Skunk, Uplifting, Energetic, Euphoric, Relaxed, Photoperiod, 8-9 weeks
Sour Diesel,hybrid,0.190,0.010, Diesel, Cypress, Sweet, Spicy, Cerebral, Balanced, Uplifting, Body-buzz, Autoflowering, 8-9 weeks
Sour Diesel 2,sativa,0.220,0.001, Citrus, Candy, Sweet, Spicy, Cerebral, Energetic, Uplifting, Euphoric, Photoperiod, 10-12 weeks
Sour Diesel Autoflowering,sativa,0.170,0.001, Woody, Pine, Earthy,, Happy, Uplifting, Energetic, Creative, Autoflowering, 9-10 weeks
Sour Jack,hybrid,0.120,0.001, Sour, Lemon, Cheese, Candy, Relaxed, Balanced, Uplifting,, Photoperiod, 8-9 weeks
Sour Kosher,hybrid,0.120,0.001, Earthy, Woody, Nutty,, Calming, Body-buzz, Relaxed, Cerebral, Photoperiod, 9-10 weeks
Sour Kush,hybrid,0.210,0.001, Musky, Earthy, Diesel, Grape, Motivated, Relaxed, Munchies, Happy, Photoperiod, 10 weeks
Sour P,hybrid,0.180,0.001, Diesel, Sour, Grape,, Relaxed, Uplifting, Euphoric,, Photoperiod, 9-10 weeks
Sour Pink Grapefruit,indica,0.200,0.001, Earthy,,,, Couch-lock, Relaxed, Cerebral, Sleepy, Autoflowering, 7-9 weeks
Sour Secret,sativa,0.120,0.001, Fresh, Citrus, Sweet,, Focused, Cerebral, Uplifting, Body-buzz, Autoflowering, 9 weeks
Sour Star,hybrid,0.120,0.001, Musky, Skunk,,, Relaxed, Happy, Calming,, Photoperiod, 9-10 weeks
Sour Tangie,hybrid,0.220,0.001, Sweet, Skunk, Diesel,, Body-buzz, Relaxed, Cerebral, Euphoric, Photoperiod, 10-11 weeks
SourPower,sativa,0.150,0.010, Pine, Sweet, Fresh,, Uplifting, Energetic, Happy, Strong, Photoperiod, 10-12 weeks
South Star,indica,0.120,0.001, Pungent, Earthy, Sweet,, Relaxed, Body-buzz, Uplifting, Mellow, Autoflowering, 9 weeks
Space Bomb,indica,0.230,0.010, Woody, Lemon, Citrus, Spicy, Strong, Long-lasting, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Space Cookies,indica,0.200,0.001, Cherry, Fruity, Skunk,, Cerebral, Body-buzz, Calming, Balanced, Photoperiod, 8-10 weeks
Space Queen,indica,0.150,0.001, Cheese, Fruity, Sweet, Pungent, Talkative, Happy, Sociable, Relaxed, Autoflowering, 9 weeks
Special Kush,indica,0.220,0.001, Skunk, Sweet, Spicy,, Body-buzz, Calming, Relaxed,, Photoperiod, 8-9 weeks
Special Kush 1,sativa,0.200,0.001, Sour, Sweet, Pine,, Creative, Energetic, Cerebral,, Photoperiod, End of September/October
Special Queen 1,hybrid,0.220,0.001, Chocolate, Kushy, Sweet,, Uplifting, Happy, Relaxed, Euphoric, Photoperiod, 9 weeks
Speed Devil 2 Autoflowering,indica,0.210,0.001, Citrus, Sage, Lime, Pepper, Relaxed, Talkative, Calming, Body-buzz, Photoperiod, 9-10 weeks
Speedy Boom Autoflowering,sativa,0.120,0.001, Cheese, Pungent, Sweet, Citrus, Uplifting, Relaxed, Motivated, Body-buzz, Photoperiod, 7-8 weeks
Speedy Chile (Fast Flowering),sativa,0.220,0.001, Woody, Spicy,,, Uplifting, Energetic,,, Photoperiod, 13 weeks
Spice,hybrid,0.220,0.030, Earthy, Spicy, Pungent, Lemon, Calming, Relaxed, Cerebral,, Autoflowering, 8-10 weeks
Spicy CBD,hybrid,0.120,0.001, Sour, Sweet, Pine,, Relaxed, Uplifting, Creative,, Photoperiod, 9 weeks
Spicy White Devil,indica,0.120,0.001, Sweet, Skunk, Earthy,, Relaxed, Long-lasting, Body-buzz,, Photoperiod, 7-9 weeks
Spiritual Punk,indica,0.120,0.001, Candy, Tropical, Fruity, Sweet, Lazy, Calming, Relaxed, Happy, Autoflowering, 11 weeks
Spoetnik 1,hybrid,0.120,0.001, Strawberry, Pine, Lemon,, Cerebral, Relaxed, Uplifting, Happy, Photoperiod, 9 weeks
Sra. Amparo,hybrid,0.150,0.110, Chocolate, Sweet,,, Relaxed, Sociable, Calming,, Autoflowering, 7-8 weeks
Stacked Kush,indica,0.220,0.001, Sweet, Earthy, Spicy,, Energetic, Relaxed, Strong,, Photoperiod, 7-8 weeks
Star Killer,indica,0.220,0.001, Citrus, Tangerine, Earthy, Blueberry, Body-buzz, Couch-lock, Cerebral, Balanced, Photoperiod, 8-9 weeks
StarBerry,indica,0.120,0.001, Spicy, Earthy,,, Calming, Relaxed, Body-buzz,, Photoperiod, 7 weeks
StarBud,sativa,0.210,0.001, Pine, Strawberry, Citrus, Woody, Cerebral, Uplifting, Creative, Relaxed, Photoperiod, 9-10 weeks
StarRyder,hybrid,0.120,0.001, Tropical, Citrus, Spicy, Musky, Couch-lock, Happy, Relaxed, Cerebral, Photoperiod, 8-9 weeks
Stardust Autoflowering,sativa,0.210,0.030, Diesel, Woody, Chemical, Pungent, Cerebral, Relaxed, Strong, Body-buzz, Photoperiod, 9-10 weeks
Sterling Haze,indica,0.060,0.070, Fresh, Garlic, Fruity, Onion, Body-buzz, Relaxed, Happy, Smooth, Photoperiod, 8 weeks
Sticky Beast Autoflowering,hybrid,0.200,0.001, Skunk, Strawberry, Sweet,, Motivated, Uplifting, Relaxed, Sociable, Photoperiod, 8 weeks
Strawberries and Cream,sativa,0.220,0.008, Fresh, Mint, Citrus,, Cerebral, Uplifting, Energetic, Happy, Photoperiod, 10-11 weeks
Strawberry AKeil,indica,0.220,0.001, Sweet, Spicy, Cheese,, Relaxed, Motivated, Uplifting, Energetic, Photoperiod, 9-10 weeks
Strawberry Amnesia,hybrid,0.120,0.001, Sweet, Fruity,,, Uplifting, Creative, Sociable, Energetic, Photoperiod, 6-7 weeks
Strawberry Banana,indica,0.120,0.001, Sweet, Fruity, Pine,, Dreamy, Relaxed, Sleepy, Calming, Photoperiod, 7-8 weeks
Strawberry Blue,indica,0.060,0.050, Earthy, Skunk, Cheese, Pungent, Happy, Calming, Clear-headed, Relaxed, Autoflowering, 9 weeks
Strawberry Cough,hybrid,0.120,0.001, Sweet, Spicy, Earthy,, Relaxed, Cerebral, Strong,, Photoperiod, 8 weeks
Strawberry D-Lite,indica,0.120,0.001, Spicy, Earthy, Sweet,, Sleepy, Relaxed, Happy, Body-buzz, Autoflowering, 12 weeks
Strawberry Daiquiri,sativa,0.210,0.001, Sweet, Fresh, Tropical,, Strong, Euphoric, Uplifting, Motivated, Photoperiod, 9-10 weeks
Strawberry Glue,hybrid,0.120,0.001, Citrus, Fruity, Lemon,, Uplifting, Happy, Relaxed, Cerebral, Photoperiod, 8-9 weeks
Strawberry Lemonade,indica,0.220,0.001, Lemon, Hashish, Earthy, Kushy, Body-buzz, Relaxed, Strong, Calming, Photoperiod, 8-9 weeks
Strawberry Shortcake,hybrid,0.120,0.001, Cheese, Fruity, Herbal, Lavender, Happy, Relaxed, Euphoric, Calming, Photoperiod, 9-11 weeks
Strawberry Skunk,hybrid,0.220,0.220, Sweet, Citrus, Spicy, Sour, Relaxed, Cerebral, Balanced, Happy, Photoperiod, 9 weeks
Strawberry Sour Diesel,sativa,0.120,0.001, Citrus, Woody, Musky, Nutty, Motivated, Relaxed, Uplifting, Energetic, Autoflowering, 10-11 weeks
Strawberry Sour Haze,sativa,0.180,0.030, Earthy, Spicy,,, Euphoric, Cerebral, Energetic, Uplifting, Photoperiod, 9-11 weeks
Stress Killer Autoflowering CBD,indica,0.120,0.001, Herbal, Spicy, Fruity, Sweet, Body-buzz, Relaxed, Calming, Happy, Autoflowering, 8 weeks
Sucker Punch,indica,0.120,0.001, Sweet, Berry,,, Trippy, Relaxed,,, Photoperiod, 8-9 weeks
Sugar Baby Autoflowering,sativa,0.120,0.001, Citrus, Diesel, Pungent,, Strong, Focused, Uplifting, Relaxed, Autoflowering, 7-9 weeks
Sugar Black Rose,hybrid,0.190,0.001, Herbal, Sour, Earthy, Spicy, Relaxed, Focused, Uplifting, Motivated, Photoperiod, 8-9 weeks
Sugar Candy,hybrid,0.120,0.001, Mango, Fresh, Pine, Fruity, Body-buzz, Euphoric, Balanced, Relaxed, Photoperiod, 8 weeks
Sugar Gom,indica,0.220,0.030, Fruity, Lavender, Lemon,, Strong, Relaxed,,, Photoperiod, 6-7 weeks
Sugar Loaf,indica,0.220,0.003, Pine, Diesel, Spicy, Earthy, Long-lasting, Body-buzz, Relaxed, Euphoric, Photoperiod, 8 weeks
Sugar Mango Ryder,hybrid,0.220,0.001, Spicy, Blueberry, Citrus, Kushy, Fuel, Cerebral, Balanced, Relaxed, Autoflowering, 11-12 weeks
Sugar Pop,hybrid,0.120,0.001, Diesel, Blueberry, Fruity,, Balanced, Uplifting, Body-buzz, Cerebral, Photoperiod, 7-8 weeks
Sunset Sherbet,indica,0.120,0.001, Spicy, Herbal, Fruity,, Strong, Calming, Happy, Relaxed, Photoperiod, 8-9 weeks
Sunshine,indica,0.220,0.030, Earthy, Grape, Kushy,, Relaxed, Euphoric, Narcotic, Body-buzz, Photoperiod, 8 weeks
Super Automatic Sativa S.A.S.,indica,0.070,0.220, Flowery, Earthy, Pine,, Lazy, Calming,,, Autoflowering, 8-9 weeks
Super Bud,indica,0.170,0.001, Spicy, Earthy,,, Trippy, Strong, Relaxed,, Autoflowering, 8-9 weeks
Super Bud Autoflowering,indica,0.120,0.001, Earthy, Fresh, Pine,, Meditative, Relaxed, Body-buzz, Calming, Photoperiod, 9-11 weeks
Super Cheese Express,indica,0.210,0.001, Fruity, Sweet, Fresh,, Strong, Narcotic, Body-buzz, Relaxed, Photoperiod, 7-8 weeks
Super Critical,hybrid,0.120,0.001, Herbal, Spicy,,, Relaxed, Alert,,,,
Super Critical Autoflowering,indica,0.120,0.001, Tropical, Pineapple, Sweet,, Body-buzz, Smooth, Munchies, Relaxed, Autoflowering, 9 weeks
Super Crystal,sativa,0.120,0.050, Diesel, Herbal, Earthy, Skunk, Uplifting, Relaxed, Happy, Cerebral, Photoperiod, 10-11 weeks
Super Hash,sativa,0.220,0.001, Citrus, Lime, Fruity,, Creative, Strong, Euphoric,, Photoperiod, 8 weeks
Super Lemon Haze,indica,0.120,0.001, Sweet, Fruity, Tropical,, Strong, Relaxed, Happy, Calming, Photoperiod, 9 weeks
Super Lemon Haze Auto CBD,indica,0.120,0.001, Sweet, Pungent, Candy, Chemical, Relaxed, Happy, Body-buzz, Euphoric, Photoperiod, 7-9 weeks
Super Lemon Haze Autoflowering,indica,0.210,0.001, Chemical, Berry, Citrus,, Relaxed, Cerebral, Balanced, Euphoric, Photoperiod, 8-9 weeks
Super Lemon Haze CBD,indica,0.240,0.001, Tropical, Lemon, Woody, Pine, Relaxed, Body-buzz, Strong, Happy, Photoperiod, 9-10 weeks
Super OG Kush,indica,0.120,0.001, Herbal, Hashish, Sweet, Spicy, Relaxed, Body-buzz, Calming,, Photoperiod, 8-9 weeks
